method,cycle,avg_delay,throughput,queue_length,efficiency,total_stops,fuel_consumption,green_times,optimization_time
Quantum Optimization,10,0.4,25,1,0.24752475247524752,1,0.1,"[10, 36, 20, 35]",0.0009872913360595703
Quantum Optimization,11,0.15151515151515152,33,1,0.3333333333333333,1,0.05,"[34, 10, 32, 23]",0.0019981861114501953
Quantum Optimization,12,0.0,31,0,0.28703703703703703,0,0.0,"[16, 49, 10, 33]",0.0020003318786621094
Quantum Optimization,13,0.7567567567567568,37,1,0.37373737373737376,1,0.28,"[14, 56, 19, 10]",0.0020003318786621094
Quantum Optimization,14,2.1818181818181817,33,4,0.32038834951456313,4,0.72,"[10, 36, 21, 36]",0.0020008087158203125
Quantum Optimization,15,1.1162790697674418,43,2,0.4387755102040816,2,0.48,"[11, 16, 48, 23]",0.0019998550415039062
Quantum Optimization,16,1.893939393939394,33,5,0.3402061855670103,5,0.625,"[27, 20, 25, 25]",0.0010073184967041016
Quantum Optimization,17,0.975609756097561,41,4,0.37962962962962965,4,0.4,"[39, 39, 20, 10]",0.001992940902709961
Quantum Optimization,18,0.75,40,6,0.37037037037037035,6,0.3,"[17, 56, 10, 25]",0.0019996166229248047
Quantum Optimization,19,3.739130434782609,46,5,0.4423076923076923,9,1.72,"[10, 48, 26, 20]",0.001007080078125
